employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
NORTH DAKOTA STATE UNIVERSITY,NORTH DAKOTA STATE UNIVERSITY,3,2,FY2025Q4; FY2026Q1,yes,19-3011,Economists,ND,FARGO,60778,72000,90000
THE BRATTLE GROUP,The Brattle Group,2,2,FY2025Q4; FY2026Q1,yes,19-3011,Economists,CA; NY,New York; San Francisco,116316,122133,127950
UNIVERSITY OF MARYLAND COLLEGE PARK,University of Maryland College Park,2,2,FY2025Q4; FY2026Q1,yes,19-3011,Environmental Economists,MD,COLLEGE PARK; College Park,78000,81687,85374
ECONIC PARTNERS US,Econic Partners US LLC,4,1,FY2025Q4,no,19-3011,Economists,DC; NY,New York; Washignton DC; Washington DC,112000,125000,125000
HARVARD UNIVERSITY,Harvard University,3,1,FY2025Q4,no,19-3011,Economists,MA,Cambridge,84460,89610,89610
AMAZON COM SERVICES,Amazon.com Services LLC,2,1,FY2026Q1,no,19-3011,Economists,WA,Seattle,147000,147000,147000
INTERNATIONAL INITIATIVE FOR IMPACT EVALUATION,International Initiative for Impact Evaluation,2,1,FY2026Q1,no,19-3011,Economists,DC; NY,Brooklyn; Washington,89600,89622,89643
MISSISSIPPI STATE UNIVERSITY,Mississippi State University,2,1,FY2025Q4,no,19-3011,Economists,MS,Mississippi State,64854,64854,64854
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,2,1,FY2025Q4,no,19-3011,Economists,PA,Philadelphia,86888,93952,101015
AMERICAN CENTURY INVESTMENT MANAGEMENT,American Century Investment Management Inc.,1,1,FY2026Q1,no,19-3011,Economists,NY,New York,122900,122900,122900
ANALYSIS GROUP,"Analysis Group, Inc.",1,1,FY2025Q4,no,19-3011,Economists,WA,Redmond,110000,110000,110000
ARIZONA OFFICE OF ECONOMIC OPPORTUNITY,Arizona Office of Economic Opportunity,1,1,FY2026Q1,no,19-3011,Economists,AZ,Phoenix,85000,85000,85000
AUBURN UNIVERSITY,Auburn University,1,1,FY2025Q4,no,19-3011,Economists,AL,Auburn,64854,64854,64854
AVANTUS,Avantus LLC,1,1,FY2025Q4,no,19-3011,Environmental Economists,CA,San Francisco,117300,117300,117300
AZURA CONSULTING,Azura Consulting LLC,1,1,FY2025Q4,no,19-3011,Environmental Economists,MA,East Falmouth,90896,90896,90896
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,Board of Regents of the University of Nebraska,1,1,FY2025Q4,no,19-3011,Environmental Economists,NE,Lincoln,70000,70000,70000
BOSTON COLLEGE,Boston College,1,1,FY2026Q1,no,19-3011,Economists,MA,Chestnut Hill,110062,110062,110062
BRAVE RESOURCES,Brave Resources Inc,1,1,FY2026Q1,no,19-3011,Economists,MN,Blaine,85000,85000,85000
CENTER FOR CIVIC RESEARCH AND INNOVATION,Center for Civic Research and Innovation,1,1,FY2025Q4,no,19-3011,Economists,MO,St. Louis,80000,80000,80000
CENTRE FOR ECONOMIC DEVELOPMENT AND EXECUTION CORPORATION,Centre for Economic Development and Execution Corporation,1,1,FY2025Q4,no,19-3011,Economists,MA,Arlington,85000,85000,85000
CLIMATE POLICY INITIATIVE,"Climate Policy Initiative, Inc.",1,1,FY2025Q4,no,19-3011,Economists,DC,Washington,82200,82200,82200
CRA INTERNATIONAL,"CRA International, Inc.",1,1,FY2026Q1,no,19-3011,Economists,MA,Boston,110000,110000,110000
D E SHAW CO L P,"D. E. Shaw & Co., L.P.",1,1,FY2026Q1,no,19-3011,Economists,NY,New York,200000,200000,200000
ENTERVENDING,"ENTERVENDING, LLC",1,1,FY2025Q4,no,19-3011,Economists,FL,ORLANDO,60403,60403,60403
FLORIDA GULF COAST UNIVERSITY,FLORIDA GULF COAST UNIVERSITY,1,1,FY2025Q4,no,19-3011,Environmental Economists,FL,Fort Myers,64854,64854,64854
HAMPTON UNIVERSITY,Hampton University,1,1,FY2025Q4,no,19-3011,Economists,VA,Hampton,73000,73000,73000
INFORMATION TECHNOLOGY AND INNOVATION FOUNDATION,Information Technology and Innovation Foundation,1,1,FY2026Q1,no,19-3011,Economists,DC,"Washington, DC",112000,112000,112000
INSTIGLIO,Instiglio Inc,1,1,FY2025Q4,no,19-3011,Economists,NY,Brooklyn,99636,99636,99636
INSTITUTE FOR WOMEN S POLICY RESEARCH,Institute for Women's Policy Research,1,1,FY2026Q1,no,19-3011,Economists,DC,Washington,70000,70000,70000
KENYON COLLEGE,Kenyon College,1,1,FY2026Q1,no,19-3011,Environmental Economists,OH,Gambier,83500,83500,83500
MEDICUS ECONOMICS,"Medicus Economics, LLC",1,1,FY2026Q1,no,19-3011,Economists,CA,San Jose,99000,99000,99000
MERCATUS CENTER,"Mercatus Center, Inc.",1,1,FY2025Q4,no,19-3011,Economists,VA,Arlington,85000,85000,85000
NATIONAL ECONOMIC RESEARCH ASSOCIATES,"NATIONAL ECONOMIC RESEARCH ASSOCIATES, INC.",1,1,FY2025Q4,no,19-3011,Economists,MA,Boston,115000,115000,115000
NEW YORK POWER AUTHORITY,New York Power Authority,1,1,FY2025Q4,no,19-3011,Environmental Economists,NY,White Plains,124982,124982,124982
PA CONSULTING GROUP,"PA Consulting Group, Inc.",1,1,FY2025Q4,no,19-3011,Economists,CO,Denver,110000,110000,110000
PURDUE UNIVERSITY,Purdue University,1,1,FY2026Q1,no,19-3011,Economists,IN,West Lafayette,64854,64854,64854
ROCKY MOUNTAIN INSTITUTE,"ROCKY MOUNTAIN INSTITUTE, INC.",1,1,FY2025Q4,no,19-3011,Environmental Economists,NY,New York,82077,82077,82077
TEXAS A M AGRILIFE RESEARCH,Texas A&M AgriLife Research,1,1,FY2025Q4,no,19-3011,Economists,TX,College Station,74970,74970,74970
THE LELAND STANFORD JR UNIVERSITY,"The Leland Stanford, Jr University",1,1,FY2026Q1,no,19-3011,Economists,MA,Lynnfield,135000,135000,135000
THE UNIVERSITY OF CHICAGO,The University of Chicago,1,1,FY2025Q4,no,19-3011,Economists,IL,Chicago,116733,116733,116733
UNIVERSITY OF ARKANSAS SYSTEM DIVISION OF AGRICULTURE,University of Arkansas System Division of Agriculture,1,1,FY2025Q4,no,19-3011,Economists,AR,FAYETTEVILLE,64854,64854,64854
UNIVERSITY OF CALIFORNIA BERKELEY,"University of California, Berkeley",1,1,FY2026Q1,no,19-3011,Economists,CA,Berkeley,72600,72600,72600
WELLS PLUMBING AND HEATING SUPPLIES,"Wells Plumbing and Heating Supplies, Inc.",1,1,FY2025Q4,no,19-3011,Economists,CA,Monrovia,84490,84490,84490
